,SMILES,STABILITY_SCORE,CHEMBL_ID
53,CC(C)n1nc(C(F)c2cccc(Cl)c2Cl)c2c(N)ncnc12,0.2,CHEMBL2324595
113,FC(F)CN1C(=O)CN(Cc2ccc(cc2)-c2cccc(CN3CCCCC3)n2)C1=O,0.6,CHEMBL1835127
224,CC(C)(C)c1ccc(OCC(=O)NC(c2ccccc2Cl)c2cc(Cl)c3cccnc3c2O)cc1,0.4,CHEMBL481320
245,CS(=O)(=O)c1ccccc1OC1CCN(CC1)C(=O)NCc1ccc(Cl)cc1Cl,0.1,CHEMBL589860
277,CC[C@H](C)[C@@H](N)C(=O)OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,0.3,CHEMBL474852
278,CCOC(=O)N1CC(N)C(C1)c1ccc(Cl)cc1Cl,3.0,CHEMBL247774
280,NCC1(CCCCC1)c1cccs1,3.6,CHEMBL1683905
286,NC1CN(CC1c1ccc(Cl)cc1Cl)c1ncccn1,3.0,CHEMBL245355
292,COc1ccc(cc1)C(NC(=O)COc1cccnc1)c1cc(Cl)c2cccnc2c1O,0.3,CHEMBL512902
404,Nc1nnc(-c2ccccc2)c(n1)-c1ccccc1,0.4,CHEMBL1370747
418,Cc1ccc(Nc2nc(cs2)-c2ccncc2)nc1,0.3,CHEMBL1672204
433,Cc1cc(NCC(=O)NC(c2cccc(F)c2)c2cc(Cl)c3cccnc3c2O)ccc1Cl,0.1,CHEMBL475029
501,Cc1ccc(cc1)C(NC(=O)CNc1ccc(cc1)C#N)c1cc(Cl)c2cccnc2c1O,0.1,CHEMBL474789
513,COc1cccc(CNc2ccc(cc2)S(=O)(=O)Nc2nc3ccccc3o2)c1O,0.5,CHEMBL3113166
518,Fc1cc(ccc1-c1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1,0.3,CHEMBL2431544
568,CCCc1cnc2c(cccc2c1-c1cccc(c1)-c1cccc(c1)S(C)(=O)=O)C(F)(F)F,0.5,CHEMBL1096719
597,CC(C)c1nc2c(Cl)cccc2n1-c1cccc(Oc2cccc(c2)S(C)(=O)=O)c1,0.1,CHEMBL594063
598,Cc1noc(C)c1NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C1CCCCC1,0.1,CHEMBL2431654
616,CCCCCNC(=N)N\N=C\c1c[nH]c2ccc(OC)cc12,1.5,CHEMBL76370
