,SMILES,STABILITY_SCORE,CHEMBL_ID
12,Fc1cccc(N2CCC(CC2)C(=O)Nc2ccc3OCC(=O)Nc3c2)c1Br,0.1,CHEMBL464384
123,Cc1cc(cc(n1)C(F)(F)F)-c1nnc(N)nc1-c1ccccc1,1.4,CHEMBL2024119
155,C[C@@H]1Nc2cc(ccc2C(N)=O)-n2c3CC(C)(C)CC(=O)c3c(C)c2CCCN2CCCC[C@H]12,0.1,CHEMBL1779545
173,Oc1c(CNc2ccccn2)ccc2cccnc12,0.6,CHEMBL3112926
184,N[C@H]1CCCC[C@H]1Nc1cc2N=CNC(=O)c2c(Nc2cccc3c(Cl)c[nH]c23)n1,0.3,CHEMBL3262358
218,Oc1c(cc(Cl)c2cccnc12)C(NC(=O)COc1ccccc1)c1cccc(c1)[N+]([O-])=O,0.1,CHEMBL480567
228,FC(F)(F)c1ccc(CCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccncc2)cc1,0.1,CHEMBL2431647
241,CC(C)NC(=O)[C@@H]1C[C@H](CN1C(=O)CN)NC(=O)c1ccccc1,0.5,CHEMBL560531
281,C[C@@H](N1CCn2nc(nc2C1)-c1ccc(nc1)C#N)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,7.2,CHEMBL3261615
352,CC(C)CN1C(=O)CN(Cc2ccc(cc2)-c2ccc(F)c(CN3CCS(=O)(=O)CC3)n2)C1=O,0.2,CHEMBL1835220
364,CC(=O)c1ccc(NCC(=O)NC(c2cccc(c2)[N+]([O-])=O)c2cc(Cl)c3cccnc3c2O)cc1,0.1,CHEMBL474814
377,Clc1ccc(cc1)[C@@H]1CNC[C@H]1C1=Nc2ccc(cc2C(=O)N1)-c1cn[nH]c1,1.3,CHEMBL2333898
394,Cc1ccc(cc1)S(=O)(=O)N1Cc2ccc(\C=C\C(=O)NO)cc2C1,0.1,CHEMBL1808635
397,O=S1(=O)CCC(CC1)Oc1ccc2OC3(CCN(CC3)C3CCC3)CCc2c1,0.7,CHEMBL1935425
441,CC(C)(C)c1ccc(cc1)C(=O)Nc1ccc(nc1)C(F)(F)F,0.4,CHEMBL2386155
472,Cc1nc2ccccc2n1-c1cccc(Oc2cccc(c2)S(C)(=O)=O)c1,0.3,CHEMBL595482
533,Oc1c(cc(Cl)c2cccnc12)C(NC(=O)CNCc1ccccc1)c1cccc(F)c1,0.2,CHEMBL475867
593,CN1C(=O)C(C)=C(Nc2ccc(I)cc2F)C2=C1N=CN(CCO)C2=O,3.3,CHEMBL1684073
601,CC(C)(CO)C#Cc1ccc(NC(=O)CSc2nnnn2-c2ccc(cc2Cl)C2CC2)c(Cl)c1,0.1,CHEMBL233167
649,COc1cc2CCN(Cc2cc1OC)c1cc(nc2cc(OC)c(OC)cc12)N1CCCN(CC1)C(=O)N1CC(O)C(O)C1,2.0,CHEMBL258023
663,CNC(=O)c1cc(OC)c(O[C@@H](C)C(=O)N2CCN(C[C@H]2C)C(=O)c2ccccc2)cn1,2.0,CHEMBL568903
695,Cc1c(nn(C)c1-c1ccc(F)cc1)C(=O)Nc1cccc(Cl)n1,1.8,CHEMBL2346711
708,Cc1nc(c(s1)C(=O)N1CCCCC1CNc1ccc(cn1)C(F)(F)F)-c1ccccc1,2.0,CHEMBL2031483
724,CC(C)(C#Cc1ccc(NC(=O)CSc2nnnn2-c2ccc(cc2Cl)C2CC2)c(Cl)c1)C(=O)NS(C)(=O)=O,1.4,CHEMBL231980
778,OCCONC(=O)C1=C2CCCN2C(=O)C(F)=C1Nc1ccc(I)cc1F,2.1,CHEMBL2012902
815,CCS(=O)(=O)Oc1ccc(Oc2ccc(cc2)S(=O)(=O)CC2CS2)cc1,0.6,CHEMBL1651843
872,CS(=O)(=O)c1cc(F)cc(c1)-c1cc(ncn1)N1CC(N)C(C1)c1cc(F)c(F)cc1F,3.0,CHEMBL246529
901,O=C(Nc1ccncc1)Nc1ccc(cc1)-c1nc(N2CCOCC2)c2ccn(CCN3CCNCC3)c2n1,0.1,CHEMBL1092280
909,CC(C)NC(=O)c1cccc(c1)-c1cc([nH]n1)-c1ccc(N2CCN(C)CC2)c(Br)c1,0.1,CHEMBL1683314
932,CC(C)CCS(=O)(=O)c1cccc(Oc2cccc(c2)-c2c(C)cnc3c(cccc23)C(F)(F)F)c1,0.1,CHEMBL594174
938,CN(C)CCCNc1cc(C)nc2c(c(C)nn12)-c1ccc(C)cc1,0.4,CHEMBL2207854
940,CNCCCC1Cc2cc(F)ccc2N(c2ccccc2F)S1(=O)=O,0.5,CHEMBL1096001
991,COc1cc(NC(C)CCCNC(=O)Oc2ccc(Cl)cc2)c2ncccc2c1,11.8,CHEMBL1933090
1102,Cc1ccc2c(NCc3ccc(NC(=O)c4ccc(F)cc4)cc3)nc(nc2c1)N1CCNC(C)(C)C1,0.1,CHEMBL569745
