,SMILES,STABILITY_SCORE,CHEMBL_ID
0,Cn1c(Nc2ccc(I)cc2F)c(C(=O)NOC[C@@H](O)CO)c2CCCC(=O)c12,0.6,CHEMBL2012891
96,CCc1nc(N)nc(N)c1-c1ccc2OC(C)(C(=O)N(CCO)c2c1)c1cc(F)cc(F)c1,0.8,CHEMBL238678
176,N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)C1CC1)Cc1cc(F)c(F)cc1F,2.0,CHEMBL563648
189,Cc1cccc(c1)-n1cnc2cc(ccc12)C(=O)N1CCCCC1,0.1,CHEMBL1343061
267,O=C1CN(Cc2ccc(cc2)-c2cccc(CN3CCCCC3)n2)C(=O)N1C1CCC1,0.4,CHEMBL1835125
283,CNCCC(c1ccc2ccccc2c1)n1ncnn1,0.2,CHEMBL1224227
301,CNCC(O)CCN1c2ccccc2N(c2ccccc2F)S1(=O)=O,0.1,CHEMBL1083083
457,FC(F)(F)CCOc1ccc(cn1)C(=O)NCc1ccc(Br)cc1OC(F)(F)F,0.3,CHEMBL566648
537,C[C@@H]1[C@@H](O)C(C)(C)Nc2cc(F)c(c(F)c12)-c1cccc2cc[nH]c12,0.5,CHEMBL1682441
579,OC(=O)C(O)=O.Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)[C@@H](CC[C@@]35O)NC(=O)c1ccc(cc1)C(F)(F)F,6.3,CHEMBL611929
716,CN1CCN(CC1)c1ccc(cc1)-c1cc(n[nH]1)-c1cccc(c1)C(=O)NCCC#N,0.1,CHEMBL1683425
735,CS(=O)(=O)N1CCC(CC1)Oc1ccc2OC3(CCN(CC3)C3CCC3)CCc2c1,0.7,CHEMBL2013045
809,CC(C)S(=O)(=O)C1=CC(=O)N(C=C1)[C@@H](CC1CCCC1)C(=O)Nc1ccn(C)n1,0.1,CHEMBL1783758
821,CC1=C(Br)C(=O)N(Cc2ccccc2C#N)C(=N1)N1CCC[C@@H](N)C1,0.4,CHEMBL1650406
829,Cl.CC(C)CC1NC(=O)C2(CCN(Cc3ccc(Oc4ccccc4)cc3)CC2)N(CCC(C)O)C1=O,0.2,CHEMBL538336
876,CC(F)(F)c1ccc(cc1)S(=O)(=O)c1nnn2c3ccsc3c(NCc3cccs3)nc12,2.0,CHEMBL2165788
885,N[C@@H]1CCCN(C1)C1=CC(=O)NC(=O)N1Cc1ccccc1Br,2.0,CHEMBL1650438
890,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(cc21)N1CCOC1=O)C(O)=O,0.5,CHEMBL550038
926,CCC(C)NS(=O)(=O)Cc1ccc(\C=C\c2cncc(C#N)c2Nc2ccc3[nH]ccc3c2C)cc1,0.2,CHEMBL1081357
975,Cn1ccc2cccc(Nc3nc(N[C@@H]4CCCC[C@@H]4N)cc4N=CNC(=O)c34)c12,0.1,CHEMBL3262359
976,CCNCC(=O)Nc1ccc(cc1)C1=NC(=O)N(CCOC)c2c1oc1ccc(cc21)-c1ccc2CN(C)CCc2c1,2.3,CHEMBL2376403
1027,Nc1ncnc(Nc2ccc(Oc3ccccc3)c(Cl)c2)c1-c1nc(CNC(=O)C=C)co1,1.0,CHEMBL2035816
1053,COc1ccc(CN(C)C)c(c1)-c1cc2c(Nc3ccc4[nH]ccc4c3C)c(cnc2s1)C#N,0.2,CHEMBL479835
1122,CCOc1cc(NC(=N)c2ccccn2)ccc1-c1ccc(o1)-c1ccc(NC(=N)c2ccccn2)cc1OCC,2.0,CHEMBL1276549
1135,Cn1c(ccc1-c1cc2c(NC(=O)C2(C)C)cc1F)C#N,0.5,CHEMBL406235
1150,CC(C)CN1C(=O)CN(Cc2ccc(cc2)-c2ccc(F)c(CN3CCCC(C)C3)n2)C1=O,0.1,CHEMBL1835213
1151,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)sc1cc(NC(=O)Oc3ccccc3)ccc21)C(O)=O,0.5,CHEMBL550984
1154,CC(C)n1nnc2c(nc(nc12)-c1ccc(NC(=O)Nc2ccc(cc2)C(N)=O)cc1)N1CCOCC1,0.1,CHEMBL591760
1279,CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@@H]1C[C@@H]2CC[C@H](C1)N2CCCN1CCN(CC1)S(C)(=O)=O,0.7,CHEMBL549449
1285,CNC[C@@H](O)CCN1c2ccccc2N(c2ccc(F)cc2F)S1(=O)=O,0.5,CHEMBL1084312
1287,ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1,0.3,CHEMBL408513
1299,Cc1c2CCCN3CCCC[C@@H]3CNc3cc(ccc3C(N)=O)-n2c2CC(C)(C)CC(=O)c12,0.1,CHEMBL1779532
1352,Cn1nnc2c(nc(nc12)-c1ccc(NC(=O)Nc2cccs2)cc1)N1CCOCC1,0.1,CHEMBL589600
1366,CC(C)NC(=O)c1cccc(c1)-c1cc([nH]n1)-c1ccc(cc1)N1CCN(C)CC1,0.1,CHEMBL1683313
1386,CC(=O)NCCC[C@](O)([C@@H]1CCCN(C1)C(=O)[C@H]1C[C@@H](N)[C@@H](O)C1)c1cccc(F)c1-c1cccc(C)c1,7.7,CHEMBL1818064
1446,CC(C)(C)C[C@@H]1N[C@H]([C@H](c2cccc(Cl)c2F)[C@]11C(=O)Nc2cc(Cl)ccc12)C(=O)N[C@H]1C[C@@H](C1)NS(C)(=O)=O,1.0,CHEMBL2398479
1465,FC(F)(F)CCOc1ccc(cn1)C(=O)NCc1ccccc1OC(F)(F)F,0.1,CHEMBL567110
1485,C[C@H]1CCC[C@@H](CNc2ccc(cn2)C(F)(F)F)N1C(=O)c1nc(C)sc1-c1ccc(F)cc1,3.0,CHEMBL2031506
1494,CN1CCN(CC1)C(=O)c1ccc(NC(=O)Nc2ccc(cc2)-c2nc(O[C@H]3CCOC3)nc(n2)N2CCOCC2)cc1,0.3,CHEMBL1808991
1502,CS(=O)(=O)c1ccc(cc1)C(CCNC(=O)c1ccc(cc1)S(C)(=O)=O)c1ccc(F)cc1,2.7,CHEMBL562081
1519,CCc1nc(N)nc(N)c1-c1ccc2OC(C)(C(=O)N(CCCOC)c2c1)c1cc(F)cc(F)c1,0.2,CHEMBL239496
1559,COc1cc(OC)c(\C=C\S(=O)(=O)Cc2ccc(OC)c(N)n2)c(OC)c1,0.3,CHEMBL3261276
1560,CCN(CC)NC1=C(Nc2cccc(C(=O)N(C)C)c2O)C(=O)C1=O,1.4,CHEMBL577075
1583,Clc1cccc(c1)N1CCC(CC1)C(=O)Nc1ccc2OCC(=O)Nc2c1,0.1,CHEMBL497662
1611,Fc1ccccc1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1,0.1,CHEMBL2431650
1653,CC(C)(C)C(=O)OC1=COC(CSc2nc3ccccc3s2)=CC1=O,0.0,CHEMBL3093815
1671,CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@@H]1C[C@@H]2CC[C@H](C1)N2CC(O)CNC(N)=O,90.0,CHEMBL2087326
1683,CNc1nc(NCc2ccc(NC(=O)c3ccc(cc3)-c3ccccc3)cc2)c2ccccc2n1,0.3,CHEMBL582809
1702,CC(=O)N1CCN2CCCc3c(C)c4c(CC(C)(C)CC4=O)n3-c3ccc(C(N)=O)c(NC[C@H]2C1)c3,0.1,CHEMBL1779535
1722,COC1=CN=C(N2CCC[C@@H](N)C2)N(Cc2ccccc2C#N)C1=O,0.3,CHEMBL1650411
1782,CC(C)(C)c1ccc(cc1)-c1nc2c(cccc2[nH]1)N1CCN(CC2=CNC(=O)NC2=O)CC1,0.5,CHEMBL516479
1806,Cn1c(ccc1-c1cc2c(NC(=O)C2(C)C)c(F)c1)C#N,0.5,CHEMBL407848
1864,Cn1cnc(c1)S(=O)(=O)N(CCN(Cc1cncn1C)c1ccc(cc1)C#N)Cc1ccccc1,0.3,CHEMBL215769
1880,CCS(=O)(=O)c1cccc(c1)-c1cccc(c1)-c1c(C)cnc2c(cccc12)C(F)(F)F,0.5,CHEMBL1098832
1928,CN(C)c1nc(NCc2ccc(NC(=O)c3ccc(F)cc3)cc2)c2ccc(C=O)cc2n1,0.1,CHEMBL583544
1961,CC(C)(C)C[C@@H]1N[C@H]([C@H](c2cccc(Cl)c2F)[C@]11C(=O)Nc2cc(Cl)ccc12)C(=O)N[C@H]1CC[C@H](O)C1,0.4,CHEMBL2398476
1979,Cc1noc(n1)-c1ccc2n(CCCSc3cc(F)cc(F)c3)c3CCCC(=O)c3c2c1,0.4,CHEMBL2179106
2038,OC(=O)c1cccc(c1)N1CCC(CC1)NS(=O)(=O)c1cc(ccc1C(F)(F)F)S(=O)(=O)c1ccccc1,0.3,CHEMBL591035
2138,C[C@H](N1CC[C@@](CCCO)(OC1=O)c1ccccc1)c1ccc(cc1)-c1ccc(F)cc1F,0.3,CHEMBL1829759
2268,FC(F)(F)C1(CC1)c1ccc(cc1)-c1ccc(cn1)C#N,6.7,CHEMBL2386153
2385,Cn1cc2c(Nc3nc(N[C@@H]4CCOC[C@@H]4N)cc4C=CNC(=O)c34)cccc2n1,0.4,CHEMBL3262622
2431,FC(F)(F)c1ccc(cc1S(=O)(=O)NC1CCN(CC1)C(=O)c1ccc(nc1)N1CCOCC1)S(=O)(=O)c1ccccc1,0.1,CHEMBL590478
2457,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(Cc2cc(Cl)ccc2Cl)C1=O,0.2,CHEMBL1650444
2483,CC(C)[C@@H](NS(=O)(=O)c1ccc2c(c1)sc1cc(NC(=O)Nc3ccccc3)ccc21)C(O)=O,0.5,CHEMBL550786
2496,Cc1c2CCNCCNc3cc(ccc3C(N)=O)-n2c2CC(C)(C)CC(=O)c12,0.3,CHEMBL1760599
2508,COc1ccc2c(O[C@@H]3C[C@H](N(C3)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C3CC3)cc(nc2c1)-c1ccccc1,2.7,CHEMBL414993
2518,Cn1c(ccc1-c1ccc2NC(=O)C(C)(C)c2c1F)C#N,0.0,CHEMBL270714
2520,Cc1cc(OCC(=O)NC(c2cccc(c2)[N+]([O-])=O)c2cc(Cl)c3cccnc3c2O)ccc1Cl,0.5,CHEMBL482365
2530,CC(C)c1nc2c(cccc2[nH]1)C(=O)NCC1CCN(CC(O)CN(C)C(C)=O)CC1,1.5,CHEMBL2402902
2533,CC(C)(CO)c1ccc(cc1)-c1ccc(cn1)C#N,2.1,CHEMBL2386146
2563,CNCCCCN1c2ccccc2N(c2ccccc2F)S1(=O)=O,0.1,CHEMBL1085831
2568,CCc1ccc(cc1)S(=O)(=O)c1nnn2c3ccsc3c(NCc3cccs3)nc12,0.0,CHEMBL1394231
2617,CCN1C=C(CN2CCN(CC2)c2cccc3[nH]c(nc23)-c2ccc(cc2)C(C)(C)C)C(=O)NC1=O,0.1,CHEMBL460480
2797,OCCC1(CCN(C(=O)O1)c1cccc(c1)-c1ccc(F)cc1F)c1ccccc1,0.8,CHEMBL1829756
2804,CNC[C@@H](O)CCN1c2ccccc2N(c2cc(F)ccc2F)S1(=O)=O,0.1,CHEMBL1083118
2816,NC1CCCN(C1)C1=Nc2c(Cl)cccc2C(=O)N1Cc1ccccc1C#N,0.1,CHEMBL387552
