,SMILES,STABILITY_SCORE,CHEMBL_ID
24,CCN1CCN(CC\C=C\c2ccc3c(Nc4ccc(Sc5nccn5C)c(Cl)c4)c(cnc3c2)C#N)CC1,0.3,CHEMBL489058
40,CC1(COC1)c1ccc(cc1)-c1ccc(cn1)C#N,0.6,CHEMBL2386149
73,CC(C)NC(=O)CN1CCNCC1,1.0,CHEMBL2391356
83,Cc1c2CCCNCCNc3cc(ccc3C(N)=O)-n2c2CC(C)(C)CC(=O)c12,0.5,CHEMBL1760602
118,O=C(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,0.1,CHEMBL556303
219,CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@@H]1C[C@@H]2CC[C@H](C1)N2CC(O)CN(C)C(=O)N(C)C,90.0,CHEMBL2087331
248,Cl.CCCCN1C(=O)C(CC2CCCCC2)NC(=O)C11CCN(Cc2ccc(Oc3ccccc3)cc2)CC1,0.4,CHEMBL536743
264,Cn1c(c(C2CCCC2)c2ccc(cc12)C(=O)NC1(CCC1)C(=O)Nc1ccc(\C=C\C(O)=O)cc1)-c1cnccn1,0.9,CHEMBL2181643
268,NCCCCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc12,0.7,CHEMBL3091687
288,CC(C)N(C(=O)[C@H]1CC[C@H](C)CC1)c1ccc(Oc2ncccc2C(F)(F)F)cc1C(O)=O,1.0,CHEMBL2403320
343,COC(=O)N1CCN(CCN2CCC(CNC(=O)c3cccc4[nH]c(nc34)C(C)C)CC2)CC1,1.5,CHEMBL2402898
408,COc1ccc(cc1-c1cnc(OC)nc1)C1=Nc2c(nn(CCO)c2C(=O)NC1)C(C)(C)C,1.0,CHEMBL2387430
431,CNS(=O)(=O)c1ccc(CNC(=O)c2ccc(OCCC(F)(F)F)nc2)c(Cl)c1,0.4,CHEMBL566048
455,COc1ccccc1-c1ccc2cnc(Nc3ccc(cc3)C3CCN(C[C@H](C)O)CC3)nn12,0.6,CHEMBL1923593
526,COc1ccc(cc1C#Cc1ccccn1)C(=O)N1CCN(CC1)c1ccncn1,0.3,CHEMBL1645020
538,CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)c1ccc(cc1)C(F)(F)F,2.3,CHEMBL1096283
542,Cc1c2CCNCC(O)CNc3cc(ccc3C(N)=O)-n2c2CC(C)(C)CC(=O)c12,0.2,CHEMBL1760606
681,ONC(=O)CCCCCNC(=O)NC(=O)c1ccc(Br)cc1,0.9,CHEMBL1083086
702,CN(CC(=O)NC(c1cccc(c1)[N+]([O-])=O)c1cc(Cl)c2cccnc2c1O)c1ccccc1,0.3,CHEMBL473841
750,Cc1cc(C)c(-c2csc(NC(=O)c3ccncc3)n2)c(C)c1,0.2,CHEMBL3263846
776,Br.CN1C(=N)N(CCOc2ccc(Cl)cc2)c2cc(Cl)ccc12,1.0,CHEMBL3235777
794,CCC1=C([C@@H](NC(=O)N1)c1ccc(O)c(Cl)c1)C(=O)OCC1CCCCC1,0.1,CHEMBL2011137
828,CN1CCc2cc(ccc2C1)-c1ccc2oc3c(N(CCN4CCC(F)(F)C4)C(=O)N=C3c3ccccc3)c2c1,0.1,CHEMBL2376390
