,SMILES,STABILITY_SCORE,CHEMBL_ID
413,Br.CN1C(=N)N(CCOc2ccc(Cl)cc2)c2cc(Cl)ccc12,1.0,CHEMBL3235777
414,CCC(=O)N1CCN(CC1)c1ccc(cc1C(F)(F)F)N1C(=O)C=Cc2cnc3ccc(cc3c12)-c1cnc2ccccc2c1,0.1,CHEMBL1256459
420,CNc1nc(NCCCN(C)C)c2sc(cc2n1)-c1cncnc1,1.7,CHEMBL3120292
438,C[C@H](CCCN(C)CCCNc1ccnc2cc(Cl)ccc12)[C@H]1CC[C@H]2[C@@H]3[C@@H](C[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)NS(C)(=O)=O)OC(C)=O,0.2,CHEMBL3264191
440,CN(C1CCCC1)c1ncnc2[nH]ccc12,0.3,CHEMBL1630769
467,CN1CCCN(CC1)c1cncc(n1)-c1cccc(\C=C\C(O)=O)c1,2.6,CHEMBL493937
491,CC(C)(C)OC(=O)N[C@@H]1CC[C@H](C1)n1cnc2cnc3[nH]ccc3c12,5.5,CHEMBL2152296
497,O=C(NCC(c1ccccc1)c1ccccc1)c1cccnc1,0.1,CHEMBL563465
513,OC(=O)c1cccc(c1)N1CCC(CC1)NS(=O)(=O)c1cc(ccc1C(F)(F)F)S(=O)(=O)c1ccccc1,0.5,CHEMBL591035
527,CCc1nn(CCOCC(F)(F)F)c2c(Nc3ccncn3)nc(nc12)N1CCN[C@H](C)C1,0.7,CHEMBL1095121
530,Cc1cccc(Nc2sc(cc2C(N)=O)-c2ccccc2F)n1,0.3,CHEMBL3233031
531,CC1=C(Nc2cc(Cl)ccc2C1=O)c1ccc(Cc2ccc(OC(F)(F)F)cc2)cc1,3.8,CHEMBL2030016
547,NCc1ccc2n(CCCCF)c(CN3C(=O)N(CC(F)(F)F)C(=O)c4ccccc34)nc2c1,1.7,CHEMBL237536
551,N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,0.2,CHEMBL108438
552,CN1CCN(CC1)c1ncnc2c3ccccc3oc12,0.1,CHEMBL232421
561,C[C@@H]1[C@@H]2NC[C@@H](C)C[C@H]2O[C@]11CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC2=C(C)C1,1.2,CHEMBL563930
564,C(c1ccc(cc1)C(N1CCCN(CC1)C1CCC1)c1nnnn1Cc1ccccc1)n1cncn1,0.5,CHEMBL1223236
571,CC(C)NCC(O)COc1cccc2ccccc12,0.7,CHEMBL27
579,Cn1cnc2cc(Br)c(-c3ccccc3Cl)c(CN)c12,2.9,CHEMBL257653
589,Nc1ncnc(Nc2ccc(OCc3ccccn3)c(Cl)c2)c1-c1nc(CNC(=O)C=C)co1,0.4,CHEMBL2035810
590,C[C@@H]1[C@@H](O)C(C)(C)Nc2c(C)cc(-c3cccc4cc[nH]c34)c(C#N)c12,0.2,CHEMBL1682429
603,CCc1nn(CCO)c(CC)c1Cc1cc(Cl)cc(Cl)c1,0.3,CHEMBL578791
612,C[C@@]1(CCC2CC2)CN(C2CCC2)C(=O)C(=C1O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,0.1,CHEMBL565443
615,C[C@@H]1[C@@H]2NC[C@@H](C)C[C@H]2O[C@]11CC[C@H]2[C@@H]3CC[C@@H]4Cc5nn(cc5C[C@]4(C)[C@H]3CC2=C(C)C1)S(=O)(=O)c1ccc(C)cc1,1.1,CHEMBL555455
625,OC(=O)C(F)(F)F.COc1ccc(cc1)-n1nc(C(N)=O)c2CCN(C(=O)c12)c1ccc(cc1)C1(CN2CCCC2)CC1,3.3,CHEMBL451053
632,CC[C@H]1C[C@@H](CN(Cc2nc(oc2C)-c2ccccc2)C1)C(=O)NCc1cccc(C)n1,0.1,CHEMBL1780096
634,C(c1ccc(cc1)C(N1CCCN(CC1)C1CCC1)c1nnnn1Cc1ccccc1)n1cccn1,0.2,CHEMBL1222593
641,COc1cc2nc(cc(N)c2c(-c2ccccc2)c1OC)N1CCCN(CC1)C(=O)N1CCOCC1,0.1,CHEMBL402898
642,C[C@@H]1CN(CCN1S(=O)(=O)c1ccc(cc1)C(N)=O)c1ccc(F)cc1C(F)(F)F,0.5,CHEMBL560775
653,COc1cc(ccc1NC(=O)C1COc2ccc(C)cc2C1)-c1cn[nH]c1,0.2,CHEMBL519269
656,Fc1ccc(F)c(c1)-c1ccc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccncc2)c(F)c1,0.2,CHEMBL2431621
659,CC(C)c1ccc(NC(=O)c2cccc(c2)-c2nn([C@@H]3CCCN(C3)C(=O)C=C)c3ncnc(N)c23)cc1C,0.1,CHEMBL2179805
661,O=C(Nc1ccncc1)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cccc(Oc2ccccc2)c1,0.1,CHEMBL2431626
676,COc1ccc(CCN2C(CN(NS(C)(=O)=O)C2=O)c2ccc(cc2)C2CC2)cc1,0.5,CHEMBL583254
684,CN(C)c1ccc(cn1)C(=O)N1CCC(CC1)NS(=O)(=O)c1cc(ccc1C(F)(F)F)S(=O)(=O)c1ccccc1,0.1,CHEMBL606033
689,C[C@H](Cc1cccc(CC(=O)NCc2ccc(OC(F)(F)F)cc2)c1)NC[C@H](O)c1ccc(O)c(CO)c1,0.3,CHEMBL230489
696,COc1cccc(c1)C1(O)CCCCC1CN(C)C,12.3,CHEMBL1237044
710,CC(=O)n1cc(Nc2ccc(I)cc2F)c(c1)C(O)=O,0.5,CHEMBL1169746
721,Cc1ccc(cc1NC(=O)c1cc(c(cc1Cl)N1CCNCC1)[N+]([O-])=O)-c1nc2ccccc2s1,4.0,CHEMBL2322979
743,CC(C)C[C@@H]1N(C[C@@H](NC1=O)c1ccccc1)C(=O)c1cc(on1)-c1ccc(F)cc1,0.9,CHEMBL3120435
759,CCN(CC)CCNC(=O)C1=CC=CN2C(=O)c3cc4ccccc4cc3N=C12,0.3,CHEMBL3289422
764,NCc1c(ccc2ncn(Cc3ccccc3)c12)-c1ccccc1Cl,0.1,CHEMBL403156
771,CC1Cc2cc(ccc2N1S(C)(=O)=O)C(=O)CSc1ccc2OCCOc2c1,0.1,CHEMBL2178689
777,CC1=CN=C(NCCc2cccc3ccccc23)C(=O)N1CC(=O)NCCONC(N)=N,0.6,CHEMBL1087037
781,CC(C)N1C(=O)C(=O)N=C1\N=C(/NOCC=C)Nc1ccc(Cl)c(Cl)c1,1.0,CHEMBL1673009
785,C(c1ccccc1)n1nnnc1C(N1CCCN(CC1)C1CCC1)c1ccc2OCCc2c1,0.3,CHEMBL1221424
788,COc1cccc(CN(CCN(C)C)C(=O)Nc2ccc(cc2)-c2cn[nH]c2)c1,0.6,CHEMBL2332068
803,CC(C)(C)CCN1N=C(c2cccs2)C(O)=C(C1=O)C1=NS(=O)(=O)c2cc(NS(N)(=O)=O)ccc2N1,1.0,CHEMBL402234
813,CC(C)OC(=O)C1=CN(CC(C)(C)c2c1[nH]c1ccccc21)C(=O)c1cccc(OCCCN2CCOCC2)c1,0.1,CHEMBL602061
817,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)CCN(Cc2ccc(F)cc2)C1=O,1.0,CHEMBL585892
821,COc1ccc(cn1)-c1cc(nnc1N)-c1ccc(cc1)S(C)(=O)=O,4.2,CHEMBL3124978
822,Cc1nccn1-c1ccc(cc1)C(N1CCCN(CC1)C1CCC1)c1nnnn1Cc1ccccc1,0.4,CHEMBL1222499
825,Fc1ccc(CN2CCN(CC2)c2ccc(cc2)-c2nc3ccccc3o2)cn1,0.7,CHEMBL2337471
831,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)C2CCCCCC2N(Cc2ccc(F)cc2)C1=O,0.8,CHEMBL476270
