,SMILES,STABILITY_SCORE,CHEMBL_ID
11,Clc1ccc(cc1Cl)[C@]12CCC[C@H]1CNC2,0.4,CHEMBL1813474
18,Cc1cccc(CN([C@@H]2CCNC2)C2CCOCC2)c1C,2.0,CHEMBL395408
21,CC(C)(C)CN1N=C(c2cccs2)C(O)=C(C1=O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,1.0,CHEMBL257408
26,FC(F)(F)c1ccc(cc1)C1=CC(=O)N(C=C1)c1ccc2n(CCN3CCCC3)ncc2c1,2.0,CHEMBL1290041
35,Cc1ccc(nc1)-c1c(C2CCCC2)c2ccc(cc2n1C)C(=O)NC1(CCC1)C(=O)Nc1ccc(\C=C\C(O)=O)cc1,0.9,CHEMBL2181777
37,Cc1ccc(s1)C1=NN(Cc2ccccc2)C(=O)C(C2=NS(=O)(=O)c3ccccc3N2)=C1O,1.0,CHEMBL401931
63,O=C(N[C@H]1CN2CCC1CC2)c1ccc2occc2c1,2.0,CHEMBL378471
65,COc1cccc(CNC(=O)c2c[nH]c3cc(ccc23)-c2cn[nH]c2)c1,0.4,CHEMBL1922045
70,CN1CCC[C@H]1C(=O)N1CCC(CC1)n1cnc2cnc3[nH]ccc3c12,4.7,CHEMBL2152404
73,CC(C)CC1n2cncc2CN(Cc2ccc(F)cc2)S1(=O)=O,0.1,CHEMBL1209476
84,CCC(CC)C(=O)N\C(Nc1ccc(Cl)c(Cl)c1)=N\c1nccn1C(C)C,1.0,CHEMBL1828781
95,CN1CCN(C(=O)C1)c1ccc(cc1F)C1CC(=NO1)c1ccc(o1)[N+]([O-])=O,4.8,CHEMBL2147099
100,Cn1cnc2ccc(-c3ccccc3CO)c(CN)c12,1.7,CHEMBL256252
101,CCOCCN1C=C(C=CC1=O)C(=O)NCc1ccc(Cl)cc1Cl,0.4,CHEMBL567283
102,CCN1CCN(CC1)S(=O)(=O)c1cnc(OCCOC)c(c1)C1=Nc2c(nn3CCCC(C)c23)C(=O)N1,0.2,CHEMBL1928277
108,CCc1nc(N)nc(N)c1-c1ccc2OC(C(=O)N(CCCOC)c2c1)c1ccc(F)cc1,0.3,CHEMBL239745
128,Cn1c(c(C2CCCCC2)c2ccc(cc12)C(=O)NC(C)(C)C(=O)Nc1ccc(\C=C\C(O)=O)cc1)-c1ccc2ncccc2c1,2.1,CHEMBL1778739
134,O=C(N[C@@H](C1CCCCC1)c1cn(nn1)C1(CC1)C#N)C1CCOCC1,1.1,CHEMBL2207552
148,CC(C)CC[C@H]1CN(Cc2ccc(F)cc2)C(=O)C(=C1O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,0.1,CHEMBL566485
