,SMILES,STABILITY_SCORE,CHEMBL_ID
0,N[C@H]1CC[C@@H](CC1)n1nnc2cnc3[nH]ccc3c12,1.1,CHEMBL2392498
9,CC(C)N1CCN(CC1)c1ccc(NC(=O)c2ccc(cc2)-c2ccccn2)cc1F,1.0,CHEMBL2407263
32,O=C(NCCN1CCOCC1)c1ccc2OCC(Cc2c1)C1=Nc2ccc(cc2C(=O)N1)-c1cn[nH]c1,0.3,CHEMBL1684210
53,O=C(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,0.1,CHEMBL556303
64,CCc1nc2ccc(Cl)cn2c1C(=O)NCc1ccc(cc1)N1CCN(CC1)c1ccc(F)cc1,2.0,CHEMBL3298836
80,Cc1noc(C)c1-c1ccc(cc1)-c1nc(C)c([C@H](OC(C)(C)C)C(O)=O)c(-c2ccc(Cl)cc2)c1C,3.8,CHEMBL3287925
87,CCc1nn(CCO)c(c1Cc1cc(Cl)cc(Cl)c1)C(F)(F)F,0.5,CHEMBL572953
125,FC(F)(F)c1ccc(cc1S(=O)(=O)NC1CCN(CC1)C(=O)c1ccc(nc1)N1CCCC1)S(=O)(=O)c1ccccc1,0.1,CHEMBL590477
136,CC(C)NC(=O)[C@@H]1C[C@H](CN1C(=O)CN)NC(=O)c1ccccc1,0.5,CHEMBL560531
141,CC(C)c1nn(CCO)c(C)c1Cc1cc(Cl)cc(Cl)c1,0.8,CHEMBL583718
180,Cc1noc(n1)-c1ccc2n(CCCSc3cc(F)cc(F)c3)c3CCCC(=O)c3c2c1,0.1,CHEMBL2179106
185,CC(C)C[C@@H]1CC(O)=C(C(=O)N1Cc1ccc(F)cc1)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,1.0,CHEMBL565652
190,COc1ccc(cn1)-c1cc(cnc1N)-c1cccc(c1)C(N)=O,4.2,CHEMBL2181480
204,CC(C)CC(=O)N[C@H]1CC[C@@H](CC1)n1nnc2cnc3[nH]ccc3c12,3.7,CHEMBL2392484
206,COC(=O)N[C@@H]1CC[C@H](C1)n1nnc2cnc3[nH]ccc3c12,4.3,CHEMBL2392486
212,CC(C)(C)c1ccc(NC(=O)N2CCCN(CC2)C(=O)c2cc(Cl)ccc2Cl)cc1,0.1,CHEMBL1762289
219,CS(=O)(=O)c1cc(c(F)cc1F)-c1cccc(c1)-c1ccnc2c(cccc12)C(F)(F)F,0.5,CHEMBL1097140
221,CC(C)Oc1ccccc1N1CCN(CC1)[C@@H]1CC[C@@H](CC1)NS(=O)(=O)c1ccc(Cl)cc1Cl,0.1,CHEMBL391035
222,O=C(N[C@@H](C1CCCCO1)c1cn(nn1)C1(CC1)C#N)c1ccsc1,1.5,CHEMBL2207579
230,CC(C)(C)[C@@H]1N(Cc2ccc(F)c(Cl)c2)C(=O)C(=C1O)C1=NS(=O)(=O)c2c1cccc2CNS(C)(=O)=O,1.0,CHEMBL469881
231,CO\N=C1/CC[C@]2(C)[C@H]3CC4=C(C)C[C@]5(CC[C@H]4[C@@H]3CC[C@@H]2C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]5C,0.9,CHEMBL552153
245,[O-]C(=O)C(F)(F)F.Cn1cc2CC[N+](C)=C3C=C(N\C=C\c4ccc(O)cc4)C(=O)c1c23,0.1,CHEMBL558428
248,O=C1NCC2(CCCNC2)c2[nH]c(cc12)-c1ccnc(n1)-c1cc2ccccc2o1,1.0,CHEMBL1779368
250,COc1ccc(C(=O)\C=C\c2cc(CN3CCN(CC3)c3ccnc4cc(Cl)ccc34)c(O)c(OC)c2)c(OC)c1,0.6,CHEMBL1774609
256,Cc1cnc2c(cccc2c1-c1cccc(Oc2cc(Cl)cc(c2)S(C)(=O)=O)c1)C(F)(F)F,0.5,CHEMBL594176
268,COc1ccc(cc1-c1cnc(nc1)N1CCOCC1)C1=Nc2c(nn(CCO)c2C(=O)NC1)C(C)(C)C,0.7,CHEMBL2387426
272,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)C2CCCN2N(Cc2ccc(F)cc2)C1=O,1.0,CHEMBL498375
275,CNc1nc(NCCCN(C)C)c2sc(cc2n1)-c1ccc(cc1)S(C)(=O)=O,1.9,CHEMBL3120286
276,Nc1ncc(cc1-c1ccc(nc1)C(F)(F)F)-c1ccc(cc1)C(=O)N1CCOCC1,4.2,CHEMBL2181488
277,CC(C)(C)NC(=O)NC1=NC(Cl)=C(COCc2ccccc2)N(CC(=O)Nc2ccccc2C(=O)NS(=O)(=O)c2ccc(cc2)C(F)(F)F)C1=O,1.4,CHEMBL3125630
282,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)C(=NN(CCC2CC2)C1=O)C1=CCCC1,0.5,CHEMBL257750
290,COc1cc(\C=C\C(C)=O)ccc1OCc1cn(nn1)-c1ccnc2cc(Cl)ccc12,0.1,CHEMBL1289100
303,Nc1nccc(n1)-c1ccc2nc([nH]c2c1)C1COc2ccc(F)cc2C1,0.8,CHEMBL518825
308,C[C@@H]1CN(CCN1C(=O)C(=O)c1c[nH]c2c(ccc(F)c12)-c1nn[nH]n1)C(=O)c1ccccc1,1.7,CHEMBL2315328
319,CC(C)(C)[C@@H]1N(Cc2ccc(F)c(Cl)c2)C(=O)C(=C1O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc12,1.0,CHEMBL487683
331,N#CCCN1CCC(CC1)n1cnc2cnc3[nH]ccc3c12,7.5,CHEMBL2152401
349,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)C(=NN(CCC2CCC2)C1=O)c1cccs1,1.0,CHEMBL256741
367,CS(=O)(=O)N1CC(C1)c1noc(n1)[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,2.0,CHEMBL566425
368,C[C@@]1(CCC2CC2)CN(C2CCCC2)C(=O)C(=C1O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,0.1,CHEMBL568378
370,CCc1nc(N)nc(N)c1-c1ccc2OC(C)CN(CCCOC)c2c1,0.5,CHEMBL239100
384,CCc1nc(N)nc(N)c1-c1ccc2O[C@](C)(C(=O)N(CCNC(C)=O)c2c1)c1ccccc1,1.0,CHEMBL391463
385,CN(Cc1ccccc1)C(=O)[C@@H](NC(=O)c1cc2cc(NC(=O)c3ccccc3-c3ccc(cc3)C(F)(F)F)ccc2n1C)c1ccccc1,1.2,CHEMBL410414
389,O=C1CCc2cc(cc3CCN1c23)-c1cccnc1,0.1,CHEMBL1765205
392,C[C@H](CCCN(C)CCNc1ccnc2cc(Cl)ccc12)[C@H]1CC[C@H]2[C@@H]3[C@@H](C[C@@H]4C[C@H](N)CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OC(C)=O,1.0,CHEMBL3264501
405,CCCc1nc2ccccn2c1C(=O)NCc1ccc(cc1)-c1ccccc1,0.4,CHEMBL3298216
418,FC(F)(F)CCCn1c(CN2C(=O)N(C3CC3)c3ccncc23)nc2ccccc12,0.2,CHEMBL234900
434,O=C(C1CC1)c1ccc2OCC(Cc2c1)C1=Nc2ccc(cc2C(=O)N1)-c1cn[nH]c1,3.6,CHEMBL1684205
439,Cl.CCN(CC)CCNc1cc(C)nc2c1ccc1c2ccc2c(NCCN(CC)CC)cc(C)nc12,1.0,CHEMBL1773160
443,CNCCCOc1cc(F)c(c(F)c1)-c1c(Cl)nc(nc1N[C@@H](C)C(F)(F)F)-c1cnccn1,1.0,CHEMBL461442
445,CCCN1C(=O)CN(Cc2ccc(cc2)-c2ccc(F)c(CN3CCCCC3)n2)C1=O,0.5,CHEMBL1835130
448,OCCOCc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)c(F)c1F,6.0,CHEMBL464238
451,CNCCC(c1ccc2cc(F)ccc2c1)n1ncnn1,1.0,CHEMBL1224300
455,CCc1nn(CCN)c(CC)c1Oc1cc(cc(c1)C#N)C#N,2.0,CHEMBL567509
459,C[C@H](Cc1cccc(CC(=O)NCc2ccc(Cl)c(Cl)c2)c1)NC[C@H](O)c1ccc(O)c(CO)c1,0.1,CHEMBL230490
461,Cn1c(c(C2CCCCC2)c2ccc(cc12)C(=O)NC(C)(C)C(=O)Nc1ccc(\C=C\C(O)=O)cc1)-c1cncnc1,0.2,CHEMBL1778757
477,OC(=O)[C@@H]1C[C@H](CN1C(=O)CNC=O)NC(=O)c1ccccc1,0.5,CHEMBL571000
489,CC(C)N1C(=O)C(=O)N=C1\N=C(/NOCc1ccccc1)Nc1ccc(Cl)c(Cl)c1,0.2,CHEMBL1673011
490,CCS(=O)(=O)c1cccc(c1)-c1cccc(c1)-c1c(C)cnc2c(cccc12)C(F)(F)F,0.5,CHEMBL1098832
498,CC(C)CCN1N=C(c2cccs2)C(O)=C(C1=O)C1=NS(=O)(=O)c2cc(OC(C)C(O)=O)ccc2N1,1.0,CHEMBL270370
504,CC1=C(Nc2ccccc2C1=O)c1ccc(nc1)-c1ccc(OC(F)(F)F)cc1,1.6,CHEMBL2030298
511,Nc1ncnc(Nc2ccc(Oc3ccccc3F)c(Cl)c2)c1-c1nc(CNC(=O)C=C)co1,0.8,CHEMBL2035820
524,O=C(NC1CCOc2ccccc12)N1C(=O)N(CCN2CCOCC2)c2ccccc12,0.0,CHEMBL495407
536,CSC1=C(C(=O)N2C=CC=CC2=N1)S(=O)(=O)c1ccccc1,0.7,CHEMBL3113357
568,CC(=C)N1C(=O)N(Cc2nc3ccccc3n2CCCC#N)c2ncccc12,0.2,CHEMBL234027
592,CC(C)CN1C(=O)CN(Cc2ccc(cc2)-c2ccc(F)c(CN3CCCC(C)C3)n2)C1=O,0.1,CHEMBL1835213
605,COc1ccc2N=C(N3CCC[C@@H](N)C3)N(Cc3ccccc3C#N)C(=O)c2c1,1.4,CHEMBL227670
618,Fc1ccc(-c2ncon2)c2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c12,0.3,CHEMBL2315345
621,CN(c1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)C(=NN(CCC(C)(C)C)C1=O)c1cccs1)S(C)(=O)=O,0.4,CHEMBL253534
624,FC(F)(F)c1cc(cc(c1)C(F)(F)F)[C@@H]1C[C@H]1C1CC(=O)CC(=O)C1,1.1,CHEMBL1939219
626,O=C(N[C@@H](C1CCCCC1)c1cn(nn1)C1(CC1)C#N)c1cn2ccsc2n1,0.4,CHEMBL2207550
629,CC(C)(C)CC[C@]1(C)CN(C2CCC2)C(=O)C(=C1O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,1.0,CHEMBL567126
639,Fc1ccc(-c2nnc(NCCN3CCOCC3)o2)c(Nc2ccc(I)cc2F)c1F,0.7,CHEMBL485964
645,CN(C)Cc1ccc(Nc2nc3ncnc(Nc4ccc(F)c(Cl)c4)c3s2)cc1,1.7,CHEMBL513208
650,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)sc1cc(NC(=O)OCCC#C)ccc21)C(O)=O,0.5,CHEMBL563407
665,COC(=O)c1ccc(NC(=O)C2CCN(CC2)S(=O)(=O)c2ccc(C)cc2C)cc1,0.1,CHEMBL2313194
