,SMILES,STABILITY_SCORE,CHEMBL_ID
17,CC(C)CN1C[C@@H]2C[C@H]1CN2c1cc(F)c(c(F)c1)-c1ccnc2c(c(nn12)-c1ccncc1)-c1cccc2[nH]ncc12,0.1,CHEMBL1276195
28,COc1cc(N2CCN(CC2)C2CCN(CC2)c2cccc3cccnc23)c2ncccc2c1,0.1,CHEMBL1094872
38,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)C2(CC2)CN(Cc2ccc(F)cc2)C1=O,1.0,CHEMBL568612
50,CC(C)CCN1N=C(c2cccs2)C(O)=C(C2=NS(=O)(=O)c3cc(CS(C)(=O)=O)ccc3N2)C1=O,0.5,CHEMBL402191
85,CNc1nc(NCCCN(C)C)c2sc(cc2n1)-c1ccoc1,0.9,CHEMBL3120295
105,Cc1nc(C(=O)N2CC(F)CC[C@H]2CNC(=O)c2cccc3occc23)c(s1)-c1ccccc1,1.0,CHEMBL2031501
106,C[C@@H]1CN(CCN1S(=O)(=O)c1ccc(Br)cc1)c1ccc(F)cc1C(F)(F)F,0.5,CHEMBL564576
124,COc1ccccc1CC(N1CCNCC1)c1ccc(F)cc1,2.0,CHEMBL1085567
127,Cc1ccc(nc1)-c1ccc(Cl)c(c1)C(=O)NCC1(O)CCCCCC1,0.6,CHEMBL560429
133,C[C@@H]1[C@@H]2NC[C@@H](C)C[C@H]2O[C@]11CC[C@H]2[C@@H]3CC[C@@H]4CCCC[C@]4(C)[C@H]3CC2=C(C)C1,3.3,CHEMBL565034
138,Cc1ccc(cc1)C(=O)N[C@@H](C1CCCCC1)c1cn(nn1)C1(CC1)C#N,0.2,CHEMBL2207548
147,CNC1CN(C1)C(=O)c1cc2cc(Cl)cc(C)c2[nH]1,1.5,CHEMBL2047453
153,CC[C@@H]1\C=C(C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)C(\C)=C\C1CCOCC1,0.0,CHEMBL3133265
155,C[C@@](Cc1ccccc1)(NC(=O)[C@@H](N)Cc1ccccc1)C(N)=O,0.7,CHEMBL2397485
160,CC(C)OC(=O)C1=CN(CC(C)(C)c2c1[nH]c1ccccc21)C(=O)c1cccc(OCCCN(C)C)c1,0.5,CHEMBL601459
162,CN1CCC(CC1)NC(=O)c1cnc(Nc2cc(Cl)cc(Cl)c2)nc1N[C@H]1CCCCNC1=O,0.7,CHEMBL2312651
163,CN1C(=O)C=C(Nc2ccc(I)cc2F)C2=C1N=CN(CCO)C2=O,0.6,CHEMBL1684061
171,Nc1nccc(n1)-c1ccc2nc([nH]c2c1)C1COc2ccccc2C1,0.7,CHEMBL454654
173,CC(C)(C)C[C@@H]1N[C@H]([C@H](c2cccc(Cl)c2F)[C@]11C(=O)Nc2cc(Cl)ccc12)C(=O)N[C@H]1C[C@](C)(O)C1,1.0,CHEMBL2398478
187,CC(C)N1CCN=C1\N=C(\Nc1ccc(Cl)c(Cl)c1)NC(C)(C)C,1.0,CHEMBL1828777
189,CN1C(=O)C(F)=C(Nc2ccc(I)cc2F)C2=C1N=CN(C[C@@H](O)CO)C2=O,2.4,CHEMBL1615025
195,CC(C)S(=O)(=O)c1cccc(Oc2ccc(Cl)c(c2)-n2cnc3c(cccc23)C(F)(F)F)c1,0.5,CHEMBL595248
196,CCC(CC)c1nn(CCO)c2c1N=C(CNC2=O)c1ccccc1,0.3,CHEMBL2387136
247,O=C(CCC1CCCC1)N1CCCN(CC1)C(=O)Nc1ccccc1,0.1,CHEMBL1762278
253,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)[C@@H]2[C@@H]3CC[C@@H](C3)[C@@H]2N(Cc2ccc(Cl)cc2)C1=O,1.0,CHEMBL1076335
261,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,12.5,CHEMBL76
262,CN(C)C1CCN(CC1)C(=O)c1ccc(NC(=O)Nc2ccc(cc2)-c2nc(O[C@H]3CCOC3)nc(n2)N2CCOCC2)cc1,0.3,CHEMBL1808988
267,Fc1cc(\C=C\c2ccc(Cl)cc2)ccc1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1,1.2,CHEMBL2431538
286,Cn1c(c(C2CCCC2)c2ccc(cc12)C(=O)NC1(CCCC1)C(=O)Nc1ccc(\C=C\C(O)=O)cc1)-c1ccccn1,1.6,CHEMBL2181618
299,COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1,0.0,CHEMBL31354
309,COc1cc(cc(OC)c1OC)C(=N\O)\c1csc(n1)-c1ccccc1,0.6,CHEMBL1830210
318,CC(C)CCN1N=C(c2cccs2)C(O)=C(C2=NS(=O)(=O)c3cc(ccc3N2)S(C)(=O)=O)C1=O,0.1,CHEMBL253964
321,Cc1cccc(CN([C@H]2CCNC2)C2CCOCC2)c1Cl,2.0,CHEMBL247340
344,CCOc1ccccc1C[C@@H](N1CCNCC1)c1ccccc1,1.0,CHEMBL403441
364,COc1cc2NC(C)=C(\C=C\C(=O)OC(C)(C)C)C(=O)c2cc1Cl,1.0,CHEMBL1258248
372,CO[C@@H]1COCC[C@@H]1N[C@@H]1CC[C@](C1)(C(C)C)C(=O)N1C[C@@H]2C[C@H]1CN2C(=O)CC(C)(C)C,2.0,CHEMBL1684697
