,SMILES,STABILITY_SCORE,CHEMBL_ID
5,COC[C@H]1C[C@H](CN(Cc2nc(oc2C)-c2ccccc2)C1)C(=O)NCc1cccc(C)n1,0.2,CHEMBL1780098
23,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc12)OCOC(=O)C(C)(C)C,0.8,CHEMBL922
42,CC(C)CCN1N=C(c2cccs2)C(O)=C(C2=NS(=O)(=O)c3ccccc3N2)C1=O,0.2,CHEMBL402743
49,Cc1cc(n[nH]1)-c1ccc(Cl)c(c1)C(=O)NCC1(O)CCCCCC1,1.3,CHEMBL560241
55,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c1ncc([nH]1)-c1ccc(cc1)-c1ccc(cc1)-c1cnc([nH]1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,0.9,CHEMBL2023898
56,NS(=O)(=O)NCc1csc2ccccc12,1.7,CHEMBL466517
86,COc1cccc2c(cn(CC3CCCCC3)c12)C(=O)N1CCN2CCC[C@@H]2C1,0.1,CHEMBL1288083
90,N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)C1CC1)Cc1cc(F)c(F)cc1F,2.0,CHEMBL563648
92,CC(C)CCN1C2CCCC2C(O)=C(C1=O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,0.2,CHEMBL514229
94,C[C@@H]1CN(CCN1S(=O)(=O)c1ccc(cc1Cl)C(N)=O)c1ccc(F)cc1C(F)(F)F,0.5,CHEMBL550175
110,Cc1nc2ccc(-c3ccccc3Cl)c(CN)c2n1C,3.3,CHEMBL257636
117,CC(C)(C)CCN1[C@H](C(O)=C(C1=O)C1=NS(=O)(=O)c2c1cccc2CCS(C)(=O)=O)C(C)(C)C,1.0,CHEMBL487446
137,Cc1ccsc1-c1ccc(F)nc1,1.4,CHEMBL179621
142,CC(N)C1(CCCCC1)c1ccc2ccccc2c1,2.3,CHEMBL1684050
143,Cn1c(c(C2CCCC2)c2ccc(cc12)C(=O)NC1(CCC1)C(=O)Nc1ccc(\C=C\C(O)=O)cc1)-c1cnccn1,1.6,CHEMBL2181643
146,OCCNc1nnc(o1)-c1ccc(F)c(F)c1Nc1ccc(I)cc1F,0.7,CHEMBL521516
158,COC(=O)c1ccc2OCC(Cc2c1)C(=O)Nc1ccc(cc1)-c1cn[nH]c1,0.3,CHEMBL481684
168,CN(C1CCCCCC1)c1ncnc2[nH]ccc12,0.2,CHEMBL1630764
183,COc1cccc(CN(CCCN2CCCC2)C(=O)Nc2ccc(cc2)-c2cn[nH]c2)c1,1.0,CHEMBL2332070
200,CCC(CC)[C@@H](CO)NS(=O)(=O)c1ccc(Cl)s1,0.1,CHEMBL480558
